STUDENTS.ID,STU.TYPES,STU.TYPE.DATES,STU.TYPE.END.DATES,EffectiveDatetime,CurrentFlag
5037174,NULL,2019-07-28,9999-12-31,2020-02-13T18:54:08Z,Y
5090053,NULL,2021-05-28,9999-12-31,2020-09-05T03:25:46Z,Y
5090053,ISQV,2020-05-29,2021-05-28,2020-09-05T03:25:46Z,Y
5045780,NULL,2019-08-15,9999-12-31,2020-02-13T18:53:52Z,Y
5069315,CCPP,2021-03-23,2023-08-05,2022-03-22T03:24:40Z,Y
5043342,NULL,2018-06-01,9999-12-31,2020-08-29T03:25:47Z,Y
5024404,NULL,2023-08-05,9999-12-31,2022-03-22T03:24:40Z,Y
5031562,NULL,2018-06-01,9999-12-31,2021-04-01T03:24:42Z,Y
5009348,NULL,2023-08-05,9999-12-31,2022-03-22T03:24:40Z,Y
5081955,NULL,2022-08-05,9999-12-31,2021-10-26T03:24:42Z,Y
5043342,CCPP,2016-04-21,2018-06-01,2020-08-29T03:25:47Z,Y
5031562,CCPP,2017-03-24,2018-06-01,2021-04-01T03:24:42Z,Y
5027968,NULL,2023-08-05,9999-12-31,2022-04-01T03:24:37Z,Y
5081955,CCPP,2017-06-20,2022-08-05,2021-10-26T03:24:42Z,Y
5099693,NULL,2018-06-01,9999-12-31,2022-01-18T04:24:43Z,Y
5076393,NULL,2019-08-15,9999-12-31,2021-01-22T04:24:39Z,Y
5013108,EMPD,2019-01-06,9999-12-31,2020-06-04T03:25:28Z,Y
5027968,CCPP,2021-03-23,2023-08-05,2022-04-01T03:24:37Z,Y
5099693,CCPP,2017-04-05,2018-06-01,2022-01-18T04:24:43Z,Y
5075796,NULL,2018-06-01,9999-12-31,2020-02-13T18:54:24Z,Y
5099121,NULL,2018-06-01,9999-12-31,2021-02-02T04:24:42Z,Y
5076393,CCPP,2018-06-26,2019-08-15,2021-01-22T04:24:39Z,Y
5075796,CCPP,2017-03-27,2018-06-01,2020-02-13T18:54:24Z,Y
5009348,CCPP,2021-03-25,2023-08-05,2022-03-22T03:24:40Z,Y
5050303,NULL,2022-08-05,9999-12-31,2021-10-26T03:24:38Z,Y
5089527,NULL,2022-08-05,9999-12-31,2021-07-15T03:24:41Z,Y
5045780,CCPP,2017-06-12,2019-08-15,2020-02-13T18:53:52Z,Y
5099121,CCPP,2017-03-27,2018-06-01,2021-02-02T04:24:42Z,Y
5023447,NULL,2023-08-05,9999-12-31,2022-03-22T03:24:40Z,Y
5030391,NULL,2019-08-15,9999-12-31,2020-11-03T04:25:45Z,Y
5024404,CCPP,2021-03-23,2023-08-05,2022-03-22T03:24:40Z,Y
5030391,CCPP,2018-08-14,2019-08-15,2020-11-03T04:25:45Z,Y
5076838,NULL,2023-08-05,9999-12-31,2022-03-22T03:24:40Z,Y
5023447,CCPP,2021-03-25,2023-08-05,2022-03-22T03:24:40Z,Y
5089527,CCPP,2017-08-08,2022-08-05,2021-07-15T03:24:41Z,Y
5034036,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:07Z,Y
5076838,CCPP,2021-03-23,2023-08-05,2022-03-22T03:24:40Z,Y
5034036,CCPP,2018-05-08,2019-08-15,2020-02-13T18:54:07Z,Y
5095321,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:09Z,Y
5095321,CCPP,2018-06-13,2019-08-15,2020-02-13T18:54:09Z,Y
5096621,NULL,2019-08-15,9999-12-31,2020-07-16T03:25:48Z,Y
5050303,CCPP,2018-06-27,2022-08-05,2021-10-26T03:24:38Z,Y
5083893,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:24Z,Y
5092602,NULL,2023-08-05,9999-12-31,2022-04-01T03:24:37Z,Y
5045334,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:24Z,Y
5023695,NULL,2018-06-01,9999-12-31,2020-11-25T04:24:39Z,Y
5083893,CCPP,2015-06-17,2019-08-15,2020-02-13T18:54:24Z,Y
5023695,CCPP,2016-05-05,2018-06-01,2020-11-25T04:24:39Z,Y
5098657,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:24Z,Y
5044169,NULL,2023-08-05,9999-12-31,2022-04-05T03:24:37Z,Y
5007554,MILD,2019-01-06,9999-12-31,2020-02-13T18:53:55Z,Y
5055418,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:24Z,Y
5082938,NULL,2018-06-01,9999-12-31,2021-09-21T03:24:41Z,Y
5044169,CCPP,2021-05-25,2023-08-05,2022-04-05T03:24:37Z,Y
5082938,CCPP,2017-06-12,2018-06-01,2021-09-21T03:24:41Z,Y
5012773,NULL,2023-08-05,9999-12-31,2022-03-22T03:24:40Z,Y
5055321,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:24Z,Y
5001697,NULL,2022-08-05,9999-12-31,2022-01-26T04:24:40Z,Y
5007256,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:02Z,Y
5012773,CCPP,2021-03-29,2023-08-05,2022-03-22T03:24:40Z,Y
5069854,CCPP,2017-03-23,2019-08-05,2021-01-07T04:24:42Z,Y
5098657,CCPP,2015-06-17,2019-08-15,2020-02-13T18:54:24Z,Y
5006349,NULL,2022-08-05,9999-12-31,2021-10-26T03:24:38Z,Y
5057287,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:23Z,Y
5064172,CCPP,2015-06-17,2019-08-05,2020-08-15T03:25:27Z,Y
5057287,CCPP,2017-03-23,2019-08-05,2020-02-13T18:54:23Z,Y
5028483,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:23Z,Y
5001697,CCPP,2018-06-27,2022-08-05,2022-01-26T04:24:40Z,Y
5049186,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:26Z,Y
5013890,NULL,2019-08-05,9999-12-31,2020-12-04T04:24:37Z,Y
5049186,CCPP,2017-05-16,2019-08-05,2020-02-13T18:54:26Z,Y
5059182,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:22Z,Y
5053254,CCPP,2021-10-07,9999-12-31,2022-02-05T04:24:41Z,Y
5006349,CCPP,2018-06-27,2022-08-05,2021-10-26T03:24:38Z,Y
5024997,NULL,2014-06-10,9999-12-31,2021-11-17T04:24:40Z,Y
5082152,NULL,2019-08-05,9999-12-31,2021-11-17T04:24:40Z,Y
5024997,CCPP,2013-05-20,2014-06-10,2021-11-17T04:24:40Z,Y
5053971,NULL,2022-08-05,9999-12-31,2022-01-11T04:24:40Z,Y
5019061,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:23Z,Y
5059182,CCPP,2018-06-07,2019-08-15,2020-02-13T18:54:22Z,Y
5092602,CCPP,2021-05-25,2023-08-05,2022-04-01T03:24:37Z,Y
5013890,CCPP,2017-03-24,2019-08-05,2020-12-04T04:24:37Z,Y
5088517,NULL,2022-08-05,9999-12-31,2021-10-26T03:24:38Z,Y
5098443,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:22Z,Y
5053971,CCPP,2018-06-27,2022-08-05,2022-01-11T04:24:40Z,Y
5089665,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:23Z,Y
5045334,CCPP,2015-06-17,2019-08-15,2020-02-13T18:54:24Z,Y
5028483,CCPP,2017-03-20,2019-08-05,2020-02-13T18:54:23Z,Y
5052647,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:22Z,Y
5021751,NULL,2015-07-27,9999-12-31,2020-02-13T18:54:14Z,Y
5082152,CCPP,2017-03-24,2019-08-05,2021-11-17T04:24:40Z,Y
5019061,CCPP,2017-03-24,2019-08-05,2020-02-13T18:54:23Z,Y
5052647,CCPP,2017-03-13,2019-08-05,2020-02-13T18:54:22Z,Y
5062293,NULL,2019-08-05,9999-12-31,2020-06-20T03:25:34Z,Y
5074460,NULL,2023-08-05,9999-12-31,2022-03-26T03:24:38Z,Y
5055418,CCPP,2015-06-17,2019-08-15,2020-02-13T18:54:24Z,Y
5089665,CCPP,2017-03-24,2019-08-05,2020-02-13T18:54:23Z,Y
5012285,NULL,2022-08-05,9999-12-31,2021-10-27T03:24:41Z,Y
5021751,CCPP,2015-07-27,2015-07-27,2020-02-13T18:54:14Z,Y
5055321,CCPP,2015-06-17,2019-08-15,2020-02-13T18:54:24Z,Y
5088517,CCPP,2018-06-27,2022-08-05,2021-10-26T03:24:38Z,Y
5007256,CCPP,2014-05-15,2019-08-15,2020-02-13T18:54:02Z,Y
5098443,CCPP,2017-03-20,2019-08-05,2020-02-13T18:54:22Z,Y
5074460,CCPP,2022-03-22,2023-08-05,2022-03-26T03:24:38Z,Y
5033232,NULL,2016-12-30,9999-12-31,2020-02-13T18:54:09Z,Y
5062293,CCPP,2017-03-20,2019-08-05,2020-06-20T03:25:34Z,Y
5086327,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:24Z,Y
5033232,CCPP,2016-06-30,2016-12-30,2020-02-13T18:54:09Z,Y
5008905,NULL,2022-08-05,9999-12-31,2021-12-01T04:24:40Z,Y
5008905,CCPP,2019-04-17,2022-08-05,2021-12-01T04:24:40Z,Y
5086327,CCPP,2015-06-17,2019-08-15,2020-02-13T18:54:24Z,Y
5088014,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:23Z,Y
5023704,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:02Z,Y
5058988,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:27Z,Y
5023704,CCPP,2014-05-15,2019-08-15,2020-02-13T18:54:02Z,Y
5049211,NULL,2019-08-15,9999-12-31,2021-04-24T03:24:38Z,Y
5012285,CCPP,2019-04-23,2022-08-05,2021-10-27T03:24:41Z,Y
5049211,CCPP,2018-05-01,2019-08-15,2021-04-24T03:24:38Z,Y
5088014,CCPP,2017-03-22,2019-08-05,2020-02-13T18:54:23Z,Y
5064544,CCPP,2017-03-24,2018-08-15,2022-01-05T04:24:42Z,Y
5058988,CCPP,2015-07-21,2019-08-15,2020-02-13T18:54:27Z,Y
5051746,NULL,2019-08-05,9999-12-31,2021-03-06T04:24:37Z,Y
5008856,NULL,2018-08-15,9999-12-31,2020-02-13T18:54:23Z,Y
5020872,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:02Z,Y
5051746,CCPP,2017-03-27,2019-08-05,2021-03-06T04:24:37Z,Y
5020872,CCPP,2014-05-15,2019-08-15,2020-02-13T18:54:02Z,Y
5008856,CCPP,2017-03-20,2018-08-15,2020-02-13T18:54:23Z,Y
5047851,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:24Z,Y
5010294,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:02Z,Y
5010294,CCPP,2014-05-15,2019-08-15,2020-02-13T18:54:02Z,Y
5005483,NULL,2019-08-05,9999-12-31,2022-01-08T04:24:42Z,Y
5028816,NULL,2022-08-05,9999-12-31,2022-03-19T03:24:37Z,Y
5065425,NULL,2019-08-05,9999-12-31,2020-02-13T18:53:54Z,Y
5047851,CCPP,2017-04-05,2019-08-05,2020-02-13T18:54:24Z,Y
5005483,CCPP,2017-04-05,2019-08-05,2022-01-08T04:24:42Z,Y
5074145,NULL,2018-08-15,9999-12-31,2021-05-25T03:24:41Z,Y
5074145,CCPP,2017-01-09,2018-08-15,2021-05-25T03:24:41Z,Y
5065425,CCPP,2017-07-19,2019-08-05,2020-02-13T18:53:54Z,Y
5092567,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:02Z,Y
5093003,NULL,2019-08-15,9999-12-31,2020-11-25T04:24:36Z,Y
5028816,CCPP,2020-02-25,2022-08-05,2022-03-19T03:24:37Z,Y
5093003,CCPP,2017-06-06,2019-08-15,2020-11-25T04:24:36Z,Y
5064544,NULL,2018-08-15,9999-12-31,2022-01-05T04:24:42Z,Y
5070860,NULL,2022-08-05,9999-12-31,2022-01-29T04:24:39Z,Y
5030356,CCPP,2016-04-21,2018-08-15,2021-06-23T03:24:38Z,Y
5035199,NULL,2022-08-05,9999-12-31,2021-11-23T04:24:40Z,Y
5070860,CCPP,2020-03-16,2022-08-05,2022-01-29T04:24:39Z,Y
5054157,CCPP,2018-06-06,2019-08-15,2020-02-13T18:54:09Z,Y
5040676,NULL,2022-08-05,9999-12-31,2022-02-01T04:24:39Z,Y
5025706,NULL,2022-08-05,9999-12-31,2021-12-01T04:24:41Z,Y
5030356,NULL,2018-08-15,9999-12-31,2021-06-23T03:24:38Z,Y
5054157,NULL,2019-08-15,9999-12-31,2020-02-13T18:54:09Z,Y
5096621,CCPP,2018-06-13,2019-08-15,2020-07-16T03:25:48Z,Y
5092567,CCPP,2018-01-07,2019-08-05,2020-02-13T18:54:02Z,Y
5028487,NULL,2022-08-05,9999-12-31,2022-01-12T04:24:40Z,Y
5018862,NULL,2022-08-05,9999-12-31,2021-10-26T03:24:38Z,Y
5080814,ISQV,2017-12-12,2019-12-19,2020-11-18T04:24:38Z,Y
5080814,NULL,2019-12-19,9999-12-31,2020-11-18T04:24:38Z,Y
5040676,CCPP,2020-03-17,2022-08-05,2022-02-01T04:24:39Z,Y
5028487,CCPP,2018-06-27,2022-08-05,2022-01-12T04:24:40Z,Y
5080899,NULL,2022-08-05,9999-12-31,2021-10-26T03:24:38Z,Y
5044005,NULL,2022-08-05,9999-12-31,2021-10-27T03:24:41Z,Y
5088315,NULL,2019-08-05,9999-12-31,2021-12-02T04:24:44Z,Y
5090033,NULL,2020-06-01,9999-12-31,2022-03-22T03:24:38Z,Y
5031351,NULL,2020-06-01,9999-12-31,2021-05-25T03:24:39Z,Y
5035199,CCPP,2018-06-28,2022-08-05,2021-11-23T04:24:40Z,Y
5098960,NULL,2018-08-15,9999-12-31,2020-02-13T18:54:04Z,Y
5044005,CCPP,2019-04-23,2022-08-05,2021-10-27T03:24:41Z,Y
5098960,CCPP,2017-07-20,2018-08-15,2020-02-13T18:54:04Z,Y
5031351,CCPP,2016-06-20,2020-06-01,2021-05-25T03:24:39Z,Y
5059428,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:10Z,Y
5096411,CCPP,2018-06-07,2020-06-01,2021-02-03T04:24:40Z,Y
5016048,CCPP,2018-06-07,2020-06-01,2021-08-10T15:13:08Z,Y
5018862,CCPP,2018-06-28,2022-08-05,2021-10-26T03:24:38Z,Y
5039890,NULL,2020-06-01,9999-12-31,2020-06-25T03:25:20Z,Y
5042632,NULL,2019-08-05,9999-12-31,2020-02-13T18:54:25Z,Y
